dataset,algorithm,status,n_samples,n_features,true_k,ari,ami,nmi,silhouette,n_pred_clusters,time_seconds
manifold_scurve_5c_2500,hdbscan,ok,2500,3,5,0.05985842637100729,0.12678038561478688,0.1411579474010818,0.08414849902036685,18,0.06
manifold_swiss_3c_1500,deltric,ok,1500,3,1,nan,nan,nan,nan,1,8.45
manifold_swiss_3c_1500,kmeans--,ok,1500,3,1,0.0,0.0,0.0,0.26138934458251006,2,0.7
manifold_swiss_3c_1500,hdbscan,ok,1500,3,1,0.0,0.0,0.0,0.35971146243019164,57,0.04
manifold_swiss_5c_2500,deltric,ok,2500,3,1,0.0,0.0,0.0,0.08075356367288195,4,11.03
manifold_swiss_5c_2500,kmeans--,ok,2500,3,1,0.0,0.0,0.0,0.2598957892523772,2,0.73
manifold_swiss_5c_2500,hdbscan,ok,2500,3,1,0.0,0.0,0.0,0.10965513771468241,2,0.05
manyclusters_10d_20c,deltric,ok,4000,10,20,1.0,1.0,1.0,0.7731569639291843,20,14.19
manyclusters_10d_20c,kmeans--,ok,4000,10,20,1.0,1.0,1.0,0.7731219559754311,20,0.39
manyclusters_10d_20c,hdbscan,ok,4000,10,20,1.0,1.0,1.0,0.7731219559754311,20,0.14
manyclusters_2d_50c,deltric,ok,5000,2,50,0.09718954883561517,0.5205756297463846,0.5270615379821414,0.2176715257542285,8,0.64
manyclusters_2d_50c,kmeans--,ok,5000,2,50,0.5055628810997902,0.7625143394425739,0.7792341949235416,0.365485375256555,50,1.0
manyclusters_2d_50c,hdbscan,ok,5000,2,50,0.09876384912707008,0.5426923442039254,0.5495696387685621,0.28266384233061953,8,0.14
manyclusters_5d_30c,deltric,ok,5000,5,30,0.9665109207583563,0.9926664690855598,0.992850992850459,0.6725672434457807,29,19.28
manyclusters_5d_30c,kmeans--,ok,5000,5,30,0.99795230321897,0.9984907348856651,0.9985296175859143,0.650457869642367,30,0.85
manyclusters_5d_30c,hdbscan,ok,5000,5,30,0.9045760383268382,0.9786192024170424,0.9791239527437134,0.6804493253006624,27,0.22
mnist,deltric,timeout,70000,784,10,nan,nan,nan,nan,nan,124.45
mnist,kmeans--,timeout,70000,784,10,nan,nan,nan,nan,nan,123.36
mnist,hdbscan,timeout,70000,784,10,nan,nan,nan,nan,nan,124.48
moons_2d_2000,deltric,ok,2000,2,2,1.0,1.0,1.0,0.39408097820734,2,0.23
