row_wins_over_column,deltric,hdbscan,umap_hdbscan,kmeans,genie,optics
deltric,0,8,8,8,5,18
hdbscan,11,0,5,6,5,17
umap_hdbscan,11,12,0,6,6,19
kmeans,12,13,13,0,9,18
genie,15,11,11,9,0,17
optics,1,2,1,2,3,0
